
sub-010002 ep00
 min_cluster_size  n_clusters   n_noise
                3           2       119
                5           2       185
                7           2      1495
                8           3      1568
               10           2      1530
               20           0      1632
               30           0      1632
               50           0      1632
              100           0      1632
              150           0      1632
              200           0      1632

sub-010268 ep06
 min_cluster_size  n_clusters   n_noise
                3           2        89
                5           2      1051
                7           2      1128
                8           2      1437
               10           2      1431
               20           0      1460
               30           0      1460
               50           0      1460
              100           0      1460
              150           0      1460
              200           0      1460

sub-010269 ep00
 min_cluster_size  n_clusters   n_noise
                3           3        81
                5           2      1046
                7           4      1294
                8           2      1302
               10           2      1337
               20           2      1372
               30           2      1355
               50           0      1464
              100           0      1464
              150           0      1464
              200           0      1464

sub-010269 ep01
 min_cluster_size  n_clusters   n_noise
                3           3       202
                5           2      1072
                7           2      1210
                8           2      1194
               10           2      1216
               20           2      1292
               30           2      1300
               50           0      1397
              100           0      1397
              150           0      1397
              200           0      1397

sub-010269 ep02
 min_cluster_size  n_clusters   n_noise
                3           3       148
                5           3       902
                7           2      1285
                8           2      1331
               10           2      1340
               20           0      1377
               30           0      1377
               50           0      1377
              100           0      1377
              150           0      1377
              200           0      1377

sub-010269 ep03
 min_cluster_size  n_clusters   n_noise
                3           5       251
                5           3       300
                7           3      1294
                8           2      1293
               10           2      1305
               20           2      1306
               30           0      1380
               50           0      1380
              100           0      1380
              150           0      1380
              200           0      1380

sub-010269 ep04
 min_cluster_size  n_clusters   n_noise
                3           2        68
                5           6      1266
                7           3      1267
                8           2      1270
               10           2      1258
               20           2      1316
               30           2      1305
               50           0      1385
              100           0      1385
              150           0      1385
              200           0      1385

sub-010269 ep05
 min_cluster_size  n_clusters   n_noise
                3           4        63
                5           2      1245
                7           3      1303
                8           2      1347
               10           3      1312
               20           0      1400
               30           0      1400
               50           0      1400
              100           0      1400
              150           0      1400
              200           0      1400

sub-010269 ep06
 min_cluster_size  n_clusters   n_noise
                3           3       153
                5           2       815
                7           2      1150
                8           2      1192
               10           2      1173
               20           2      1196
               30           0      1251
               50           0      1251
              100           0      1251
              150           0      1251
              200           0      1251

sub-010270 ep00
 min_cluster_size  n_clusters   n_noise
                3           2       190
                5           2      1324
                7           2      1463
                8           2      1477
               10           2      1446
               20           0      1502
               30           0      1502
               50           0      1502
              100           0      1502
              150           0      1502
              200           0      1502

sub-010270 ep01
 min_cluster_size  n_clusters   n_noise
                3           2        56
                5           9      1420
                7           2      1407
                8           3      1456
               10           2      1491
               20           0      1523
               30           0      1523
               50           0      1523
              100           0      1523
              150           0      1523
              200           0      1523

sub-010270 ep02
 min_cluster_size  n_clusters   n_noise
                3           4       285
                5           2      1051
                7           2      1311
                8           2      1413
               10           0      1446
               20           0      1446
               30           0      1446
               50           0      1446
              100           0      1446
              150           0      1446
              200           0      1446

sub-010270 ep03
 min_cluster_size  n_clusters   n_noise
                3           5       221
                5           2      1395
                7           2      1525
                8           2      1530
               10           0      1583
               20           0      1583
               30           0      1583
               50           0      1583
              100           0      1583
              150           0      1583
              200           0      1583

sub-010270 ep04
 min_cluster_size  n_clusters   n_noise
                3           3       192
                5           2      1371
                7           2      1510
                8           2      1513
               10           2      1538
               20           0      1579
               30           0      1579
               50           0      1579
              100           0      1579
              150           0      1579
              200           0      1579

sub-010270 ep05
 min_cluster_size  n_clusters   n_noise
                3           4       355
                5           2       364
                7           2      1406
                8           2      1393
               10           2      1421
               20           0      1484
               30           0      1484
               50           0      1484
              100           0      1484
              150           0      1484
              200           0      1484

sub-010270 ep06
 min_cluster_size  n_clusters   n_noise
                3           2        91
                5           2       841
                7           4      1345
                8           2      1361
               10           2      1355
               20           2      1343
               30           0      1412
               50           0      1412
              100           0      1412
              150           0      1412
              200           0      1412

sub-010271 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        18
                5           5       625
                7           2      2446
                8           2      2471
               10           2      2519
               20           0      2705
               30           0      2705
               50           0      2705
              100           0      2705
              150           0      2705
              200           0      2705

sub-010271 ep01
 min_cluster_size  n_clusters   n_noise
                3          20       258
                5           5      1173
                7           3      1191
                8           2      1182
               10           3      1197
               20           0      1291
               30           0      1291
               50           0      1291
              100           0      1291
              150           0      1291
              200           0      1291

sub-010271 ep02
 min_cluster_size  n_clusters   n_noise
                3           2         0
                5           2       118
                7           3      1461
                8           3      1467
               10           3      1465
               20           0      1536
               30           0      1536
               50           0      1536
              100           0      1536
              150           0      1536
              200           0      1536

sub-010271 ep03
 min_cluster_size  n_clusters   n_noise
                3           8       243
                5           2      1070
                7           2      1104
                8           2      1205
               10           2      1234
               20           2      1251
               30           0      1329
               50           0      1329
              100           0      1329
              150           0      1329
              200           0      1329

sub-010271 ep04
 min_cluster_size  n_clusters   n_noise
                3           4        75
                5           3       302
                7           2      1135
                8           2      1165
               10           2      1162
               20           2      1216
               30           2      1224
               50           0      1298
              100           0      1298
              150           0      1298
              200           0      1298

sub-010271 ep05
 min_cluster_size  n_clusters   n_noise
                3           2        18
                5           4       330
                7           2        91
                8           2      1418
               10           2      1386
               20           0      1485
               30           0      1485
               50           0      1485
              100           0      1485
              150           0      1485
              200           0      1485

sub-010271 ep06
 min_cluster_size  n_clusters   n_noise
                3           3        47
                5           2       208
                7           3      1154
                8           2      1173
               10           2      1202
               20           0      1257
               30           0      1257
               50           0      1257
              100           0      1257
              150           0      1257
              200           0      1257

sub-010272 ep00
 min_cluster_size  n_clusters   n_noise
                3           5       205
                5           2       813
                7           2      1314
                8           2      1342
               10           3      1372
               20           0      1483
               30           0      1483
               50           0      1483
              100           0      1483
              150           0      1483
              200           0      1483

sub-010272 ep01
 min_cluster_size  n_clusters   n_noise
                3           3       241
                5           2      1170
                7           2      1499
                8           2      1508
               10           2      1534
               20           2      1601
               30           0      1712
               50           0      1712
              100           0      1712
              150           0      1712
              200           0      1712

sub-010272 ep02
 min_cluster_size  n_clusters   n_noise
                3           7       659
                5           2       599
                7           2       639
                8           3      1594
               10           2      1577
               20           0      1667
               30           0      1667
               50           0      1667
              100           0      1667
              150           0      1667
              200           0      1667

sub-010272 ep03
 min_cluster_size  n_clusters   n_noise
                3           3       343
                5           2      1318
                7           4      1498
                8           2      1517
               10           2      1500
               20           0      1559
               30           0      1559
               50           0      1559
              100           0      1559
              150           0      1559
              200           0      1559

sub-010272 ep04
 min_cluster_size  n_clusters   n_noise
                3           3       276
                5           2      1446
                7           2      1488
                8           2      1499
               10           2      1516
               20           0      1551
               30           0      1551
               50           0      1551
              100           0      1551
              150           0      1551
              200           0      1551

sub-010272 ep05
 min_cluster_size  n_clusters   n_noise
                3           4       258
                5           2      1474
                7           2      1686
                8           2      1679
               10           2      1693
               20           0      1746
               30           0      1746
               50           0      1746
              100           0      1746
              150           0      1746
              200           0      1746

sub-010272 ep06
 min_cluster_size  n_clusters   n_noise
                3           2       217
                5           2       965
                7           5      1162
                8           4      1174
               10           3      1173
               20           2      1199
               30           0      1269
               50           0      1269
              100           0      1269
              150           0      1269
              200           0      1269

sub-010273 ep00
 min_cluster_size  n_clusters   n_noise
                3           4       205
                5           2       256
                7           2      1181
                8           2      1184
               10           2      1171
               20           2      1214
               30           2      1191
               50           2      1176
              100           0      1373
              150           0      1373
              200           0      1373

sub-010273 ep01
 min_cluster_size  n_clusters   n_noise
                3           2        74
                5           3       846
                7           2       898
                8           2      1129
               10           2      1245
               20           2      1252
               30           2      1297
               50           2      1277
              100           0      1446
              150           0      1446
              200           0      1446

sub-010273 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        32
                5           4       563
                7           2      1173
                8           2      1233
               10           2      1311
               20           2      1320
               30           2      1387
               50           2      1340
              100           0      1506
              150           0      1506
              200           0      1506

sub-010273 ep03
 min_cluster_size  n_clusters   n_noise
                3           2       174
                5           3      1108
                7           4      1145
                8           3      1152
               10           2      1188
               20           2      1209
               30           2      1238
               50           2      1234
              100           0      1466
              150           0      1466
              200           0      1466

sub-010273 ep04
 min_cluster_size  n_clusters   n_noise
                3           2       104
                5           2       970
                7           3      1117
                8           2      1198
               10           2      1300
               20           2      1362
               30           0      1459
               50           0      1459
              100           0      1459
              150           0      1459
              200           0      1459

sub-010273 ep05
 min_cluster_size  n_clusters   n_noise
                3           2        44
                5           8      1071
                7           3      1205
                8           2      1223
               10           2      1208
               20           2      1225
               30           2      1247
               50           0      1434
              100           0      1434
              150           0      1434
              200           0      1434

sub-010273 ep06
 min_cluster_size  n_clusters   n_noise
                3           7       396
                5           2       821
                7           2       923
                8           2       935
               10           2      1026
               20           2       906
               30           2      1047
               50           2      1034
              100           0      1264
              150           0      1264
              200           0      1264

sub-010274 ep00
 min_cluster_size  n_clusters   n_noise
                3           8       161
                5           2        46
                7           4      1581
                8           3      1617
               10           2      1624
               20           0      1718
               30           0      1718
               50           0      1718
              100           0      1718
              150           0      1718
              200           0      1718

sub-010274 ep01
 min_cluster_size  n_clusters   n_noise
                3           2         7
                5           2       193
                7           3       451
                8           2      1554
               10           2      1589
               20           0      1633
               30           0      1633
               50           0      1633
              100           0      1633
              150           0      1633
              200           0      1633

sub-010274 ep02
 min_cluster_size  n_clusters   n_noise
                3           2        58
                5           2       392
                7           2      1406
                8           2      1418
               10           2      1417
               20           2      1459
               30           2      1480
               50           0      1576
              100           0      1576
              150           0      1576
              200           0      1576

sub-010274 ep03
 min_cluster_size  n_clusters   n_noise
                3           2        30
                5           2      1024
                7           2      1442
                8           3      1495
               10           3      1517
               20           0      1600
               30           0      1600
               50           0      1600
              100           0      1600
              150           0      1600
              200           0      1600

sub-010274 ep04
 min_cluster_size  n_clusters   n_noise
                3           4       290
                5           2       305
                7           3      1486
                8           3      1472
               10           2      1486
               20           2      1531
               30           0      1582
               50           0      1582
              100           0      1582
              150           0      1582
              200           0      1582

sub-010274 ep05
 min_cluster_size  n_clusters   n_noise
                3           2        67
                5          10      1476
                7           5      1548
                8           2      1549
               10           2      1601
               20           0      1647
               30           0      1647
               50           0      1647
              100           0      1647
              150           0      1647
              200           0      1647

sub-010274 ep06
 min_cluster_size  n_clusters   n_noise
                3           2       125
                5           2       254
                7           2       233
                8           2       187
               10           2      1429
               20           0      1462
               30           0      1462
               50           0      1462
              100           0      1462
              150           0      1462
              200           0      1462

sub-010275 ep00
 min_cluster_size  n_clusters   n_noise
                3           2        77
                5           2      1091
                7           4      1702
                8           2      1665
               10           3      1714
               20           0      1806
               30           2      1741
               50           0      1806
              100           0      1806
              150           0      1806
              200           0      1806

sub-010275 ep01
 min_cluster_size  n_clusters   n_noise
                3           3        90
                5           5      1479
                7           3      1546
                8           3      1598
               10           2      1581
               20           0      1671
               30           0      1671
               50           0      1671
              100           0      1671
              150           0      1671
              200           0      1671

sub-010275 ep02
 min_cluster_size  n_clusters   n_noise
                3           3       250
                5           3      1419
                7           5      1561
                8           2      1521
               10           3      1579
               20           0      1647
               30           0      1647
               50           0      1647
              100           0      1647
              150           0      1647
              200           0      1647

sub-010275 ep03
 min_cluster_size  n_clusters   n_noise
                3           2       160
                5           3      1265
                7           2      1479
                8           2      1500
               10           0      1616
               20           0      1616
               30           0      1616
               50           0      1616
              100           0      1616
              150           0      1616
              200           0      1616

sub-010275 ep04
 min_cluster_size  n_clusters   n_noise
                3           2       132
                5           3      1256
                7           2      1403
                8           2      1361
               10           2      1528
               20           0      1606
               30           0      1606
               50           0      1606
              100           0      1606
              150           0      1606
              200           0      1606

sub-010275 ep05
 min_cluster_size  n_clusters   n_noise
                3           2       350
                5           4      1370
                7           4      1575
                8           2      1419
               10           3      1590
               20           2      1610
               30           0      1723
               50           0      1723
              100           0      1723
              150           0      1723
              200           0      1723

sub-010275 ep06
 min_cluster_size  n_clusters   n_noise
                3           3       405
                5           2      1189
                7           3      1397
                8           4      1428
               10           0      1535
               20           0      1535
               30           0      1535
               50           0      1535
              100           0      1535
              150           0      1535
              200           0      1535

sub-010283 ep00
 min_cluster_size  n_clusters   n_noise
                3           5       307
                5           2       885
                7           5      1247
                8           5      1253
               10           2      1236
               20           2      1284
               30           2      1292
               50           0      1364
              100           0      1364
              150           0      1364
              200           0      1364

sub-010283 ep01
 min_cluster_size  n_clusters   n_noise
                3           3       127
                5           2      1139
                7           6      1609
                8           3      1626
               10           3      1629
               20           2      1666
               30           2      1671
               50           2      1660
              100           0      1768
              150           0      1768
              200           0      1768

sub-010283 ep02
 min_cluster_size  n_clusters   n_noise
                3           2       106
                5           2       922
                7           4      1403
                8           2      1259
               10           2      1490
               20           2      1495
               30           0      1538
               50           0      1538
              100           0      1538
              150           0      1538
              200           0      1538

sub-010283 ep03
 min_cluster_size  n_clusters   n_noise
                3           5       134
                5           3      1010
                7           4      1280
                8           5      1315
               10           3      1349
               20           2      1368
               30           0      1434
               50           0      1434
              100           0      1434
              150           0      1434
              200           0      1434

sub-010283 ep04
 min_cluster_size  n_clusters   n_noise
                3           2       125
                5           8      1236
                7           2      1238
                8           5      1346
               10           4      1360
               20           0      1449
               30           0      1449
               50           0      1449
              100           0      1449
              150           0      1449
              200           0      1449

sub-010283 ep05
 min_cluster_size  n_clusters   n_noise
                3           3       324
                5          10      1147
                7           4      1183
                8           4      1223
               10           2      1238
               20           2      1313
               30           0      1379
               50           0      1379
              100           0      1379
              150           0      1379
              200           0      1379

sub-010284 ep00
 min_cluster_size  n_clusters   n_noise
                3           2       350
                5          10      1475
                7           6      1525
                8           5      1546
               10           2      1545
               20           2      1599
               30           0      1660
               50           0      1660
              100           0      1660
              150           0      1660
              200           0      1660

sub-010284 ep01
 min_cluster_size  n_clusters   n_noise
                3           2       153
                5           5      1539
                7           4      1674
                8           2      1646
               10           2      1708
               20           2      1733
               30           0      1821
               50           0      1821
              100           0      1821
              150           0      1821
              200           0      1821

sub-010284 ep02
 min_cluster_size  n_clusters   n_noise
                3           2       118
                5           2       985
                7           6      1399
                8           3      1419
               10           3      1408
               20           0      1493
               30           0      1493
               50           0      1493
              100           0      1493
              150           0      1493
              200           0      1493

sub-010284 ep03
 min_cluster_size  n_clusters   n_noise
                3           2       100
                5           9      1485
                7           2      1497
                8           2      1491
               10           2      1474
               20           2      1572
               30           2      1520
               50           0      1645
              100           0      1645
              150           0      1645
              200           0      1645

sub-010284 ep04
 min_cluster_size  n_clusters   n_noise
                3           3        57
                5           2      1227
                7           4      2026
                8           2      2013
               10           3      2038
               20           2      2103
               30           0      2166
               50           0      2166
              100           0      2166
              150           0      2166
              200           0      2166

sub-010284 ep05
 min_cluster_size  n_clusters   n_noise
                3           2        56
                5           3      1195
                7           5      1397
                8           3      1415
               10           3      1420
               20           0      1491
               30           0      1491
               50           0      1491
              100           0      1491
              150           0      1491
              200           0      1491

sub-010284 ep06
 min_cluster_size  n_clusters   n_noise
                3           2        58
                5           2       795
                7           5      1315
                8           3      1304
               10           2      1333
               20           0      1399
               30           0      1399
               50           0      1399
              100           0      1399
              150           0      1399
              200           0      1399

sub-010286 ep00
 min_cluster_size  n_clusters   n_noise
                3           6       218
                5           2       273
                7           2      1041
                8           2      1078
               10           0      1403
               20           0      1403
               30           0      1403
               50           0      1403
              100           0      1403
              150           0      1403
              200           0      1403

sub-010286 ep01
 min_cluster_size  n_clusters   n_noise
                3          20       647
                5           2       685
                7           2       418
                8           2      1303
               10           2      1312
               20           0      1442
               30           0      1442
               50           0      1442
              100           0      1442
              150           0      1442
              200           0      1442

sub-010286 ep02
 min_cluster_size  n_clusters   n_noise
                3           3       133
                5           2      2912
                7           2      3017
                8           3      3054
               10           3      3084
               20           2      3086
               30           0      3188
               50           0      3188
              100           0      3188
              150           0      3188
              200           0      3188

sub-010286 ep03
 min_cluster_size  n_clusters   n_noise
                3           2        30
                5           2      1199
                7           2      1322
                8           2      1276
               10           2      1300
               20           2      1423
               30           0      1490
               50           0      1490
              100           0      1490
              150           0      1490
              200           0      1490

sub-010286 ep04
 min_cluster_size  n_clusters   n_noise
                3           2        67
                5           3      1209
                7           2      1961
                8           2      1990
               10           2      1970
               20           0      2015
               30           0      2015
               50           0      2015
              100           0      2015
              150           0      2015
              200           0      2015

sub-010286 ep05
 min_cluster_size  n_clusters   n_noise
                3           7       319
                5           2       675
                7           3      1956
                8           3      1965
               10           2      1979
               20           0      2015
               30           0      2015
               50           0      2015
              100           0      2015
              150           0      2015
              200           0      2015

sub-010286 ep06
 min_cluster_size  n_clusters   n_noise
                3           4       196
                5           3      1249
                7           2      1336
                8           2      1348
               10           2      1356
               20           0      1410
               30           0      1410
               50           0      1410
              100           0      1410
              150           0      1410
              200           0      1410

sub-010287 ep00
 min_cluster_size  n_clusters   n_noise
                3           6       190
                5           2       632
                7           2      1385
                8           3      1401
               10           2      1397
               20           2      1411
               30           0      1451
               50           0      1451
              100           0      1451
              150           0      1451
              200           0      1451

sub-010287 ep01
 min_cluster_size  n_clusters   n_noise
                3           4       166
                5           2      1169
                7           2      1271
                8           2      1306
               10           2      1324
               20           0      1417
               30           0      1417
               50           0      1417
              100           0      1417
              150           0      1417
              200           0      1417

sub-010287 ep02
 min_cluster_size  n_clusters   n_noise
                3           3       180
                5           2      1241
                7           2      1329
                8           2      1309
               10           0      1361
               20           0      1361
               30           0      1361
               50           0      1361
              100           0      1361
              150           0      1361
              200           0      1361

sub-010287 ep03
 min_cluster_size  n_clusters   n_noise
                3          11       556
                5           2       259
                7           2      1143
                8           2      1239
               10           2      1294
               20           0      1343
               30           0      1343
               50           0      1343
              100           0      1343
              150           0      1343
              200           0      1343

sub-010287 ep04
 min_cluster_size  n_clusters   n_noise
                3           2       428
                5           2      1100
                7           3      1245
                8           2      1278
               10           0      1376
               20           0      1376
               30           0      1376
               50           0      1376
              100           0      1376
              150           0      1376
              200           0      1376

sub-010287 ep05
 min_cluster_size  n_clusters   n_noise
                3           3       105
                5           2      1072
                7           2      1259
                8           2      1240
               10           2      1316
               20           0      1351
               30           0      1351
               50           0      1351
              100           0      1351
              150           0      1351
              200           0      1351

sub-010287 ep06
 min_cluster_size  n_clusters   n_noise
                3           4       215
                5           2       860
                7           5      1110
                8           3      1086
               10           2      1138
               20           2      1175
               30           0      1222
               50           0      1222
              100           0      1222
              150           0      1222
              200           0      1222

sub-010288 ep00
 min_cluster_size  n_clusters   n_noise
                3           5       231
                5           2      1141
                7           3      1515
                8           3      1507
               10           2      1530
               20           2      1566
               30           0      1621
               50           0      1621
              100           0      1621
              150           0      1621
              200           0      1621

sub-010288 ep01
 min_cluster_size  n_clusters   n_noise
                3           2       159
                5           8      1457
                7           3      1495
                8           2      1499
               10           2      1528
               20           0      1617
               30           0      1617
               50           0      1617
              100           0      1617
              150           0      1617
              200           0      1617

sub-010288 ep02
 min_cluster_size  n_clusters   n_noise
                3           4       414
                5           2      1035
                7           2      1618
                8           3      1653
               10           2      1709
               20           2      1690
               30           2      1714
               50           0      1792
              100           0      1792
              150           0      1792
              200           0      1792

sub-010288 ep03
 min_cluster_size  n_clusters   n_noise
                3           2        30
                5           2      1329
                7           2      1376
                8           4      1482
               10           3      1485
               20           0      1559
               30           0      1559
               50           0      1559
              100           0      1559
              150           0      1559
              200           0      1559

sub-010288 ep04
 min_cluster_size  n_clusters   n_noise
                3           3       245
                5           2      1186
                7           2      1491
                8           2      1462
               10           2      1524
               20           2      1560
               30           2      1562
               50           0      1679
              100           0      1679
              150           0      1679
              200           0      1679

sub-010288 ep05
 min_cluster_size  n_clusters   n_noise
                3           2       106
                5           3      1317
                7           3      1555
                8           2      1545
               10           2      1546
               20           2      1605
               30           0      1731
               50           0      1731
              100           0      1731
              150           0      1731
              200           0      1731

sub-010288 ep06
 min_cluster_size  n_clusters   n_noise
                3           3       220
                5           2      1273
                7           3      1405
                8           3      1415
               10           3      1451
               20           0      1519
               30           0      1519
               50           0      1519
              100           0      1519
              150           0      1519
              200           0      1519

sub-010289 ep00
 min_cluster_size  n_clusters   n_noise
                3           4       141
                5           4       801
                7           2      1108
                8           2      1542
               10           2      1509
               20           0      1627
               30           0      1627
               50           0      1627
              100           0      1627
              150           0      1627
              200           0      1627

sub-010289 ep01
 min_cluster_size  n_clusters   n_noise
                3           4       166
                5           2       418
                7           2      1739
                8           2      1767
               10           2      1788
               20           2      1768
               30           0      1877
               50           0      1877
              100           0      1877
              150           0      1877
              200           0      1877

sub-010289 ep02
 min_cluster_size  n_clusters   n_noise
                3           8       293
                5           2       250
                7           2      1860
                8           2      1856
               10           2      1864
               20           2      1921
               30           2      1891
               50           2      1930
              100           0      2116
              150           0      2116
              200           0      2116

sub-010289 ep03
 min_cluster_size  n_clusters   n_noise
                3           3       199
                5           2       531
                7           2      1887
                8           2      1936
               10           2      2011
               20           2      1957
               30           2      1945
               50           2      1941
              100           0      2190
              150           0      2190
              200           0      2190

sub-010289 ep04
 min_cluster_size  n_clusters   n_noise
                3           4        98
                5           2       489
                7           3      1099
                8           2      1037
               10           2      1052
               20           2      1137
               30           2      1167
               50           0      1327
              100           0      1327
              150           0      1327
              200           0      1327

sub-010289 ep05
 min_cluster_size  n_clusters   n_noise
                3           4        88
                5           2       108
                7           3      1419
                8           2      1464
               10           2      1465
               20           2      1426
               30           2      1417
