subject,epoch,min_cluster_size,n_clusters,n_noise
sub-010006,ep00,5,3,769
sub-010006,ep00,7,4,1452
sub-010006,ep00,8,4,1449
sub-010006,ep00,10,0,1517
sub-010006,ep00,20,0,1517
sub-010006,ep00,30,0,1517
sub-010006,ep00,50,0,1517
sub-010006,ep00,100,0,1517
sub-010006,ep00,150,0,1517
sub-010006,ep00,200,0,1517
sub-010006,ep01,3,2,75
sub-010006,ep01,5,3,529
sub-010006,ep01,7,2,1394
sub-010006,ep01,8,2,1379
sub-010006,ep01,10,2,1384
sub-010006,ep01,20,0,1452
sub-010006,ep01,30,0,1452
sub-010006,ep01,50,0,1452
sub-010006,ep01,100,0,1452
sub-010006,ep01,150,0,1452
sub-010006,ep01,200,0,1452
sub-010006,ep02,3,7,215
sub-010006,ep02,5,2,1352
sub-010006,ep02,7,2,1367
sub-010006,ep02,8,2,1386
sub-010006,ep02,10,2,1410
sub-010006,ep02,20,0,1469
sub-010006,ep02,30,0,1469
sub-010006,ep02,50,0,1469
sub-010006,ep02,100,0,1469
sub-010006,ep02,150,0,1469
sub-010006,ep02,200,0,1469
sub-010006,ep03,3,2,150
sub-010006,ep03,5,3,641
sub-010006,ep03,7,5,1680
sub-010006,ep03,8,4,1674
sub-010006,ep03,10,2,1708
sub-010006,ep03,20,0,1764
sub-010006,ep03,30,0,1764
sub-010006,ep03,50,0,1764
sub-010006,ep03,100,0,1764
sub-010006,ep03,150,0,1764
sub-010006,ep03,200,0,1764
sub-010006,ep04,3,3,203
sub-010006,ep04,5,3,945
sub-010006,ep04,7,2,1308
sub-010006,ep04,8,2,1339
sub-010006,ep04,10,2,1405
sub-010006,ep04,20,0,1453
sub-010006,ep04,30,0,1453
sub-010006,ep04,50,0,1453
sub-010006,ep04,100,0,1453
sub-010006,ep04,150,0,1453
sub-010006,ep04,200,0,1453
sub-010006,ep05,3,2,39
sub-010006,ep05,5,2,552
sub-010006,ep05,7,2,1500
sub-010006,ep05,8,3,1532
sub-010006,ep05,10,2,1548
sub-010006,ep05,20,0,1575
sub-010006,ep05,30,0,1575
sub-010006,ep05,50,0,1575
sub-010006,ep05,100,0,1575
sub-010006,ep05,150,0,1575
sub-010006,ep05,200,0,1575
sub-010006,ep06,3,2,77
sub-010006,ep06,5,3,1098
sub-010006,ep06,7,4,1226
sub-010006,ep06,8,2,1218
sub-010006,ep06,10,2,1206
sub-010006,ep06,20,0,1290
sub-010006,ep06,30,0,1290
sub-010006,ep06,50,0,1290
sub-010006,ep06,100,0,1290
sub-010006,ep06,150,0,1290
sub-010006,ep06,200,0,1290
sub-010007,ep00,3,2,24
